Customer_ID,Tenure_Months,Monthly_Spend,Avg_Data_Usage_GB,Usage_Hours,Complaints_Last_6M,Payment_Delay_Days,Support_Calls,Contract_Type,Plan_Type,Auto_Pay,Discount_Received_%,Internet_Speed_Mbps,Region,Churn
46,8,1045.26,20.98,102.8,0,1.6,1,Annual,Standard,1,0,100,East,0
47,47,519.0,16.73,43.4,0,8.2,3,2-Year,Basic,1,10,100,South,0
48,35,700.39,15.45,91.1,1,0.1,4,Monthly,Basic,1,5,25,West,0
49,36,1235.33,22.15,51.8,1,0.7,4,Monthly,Basic,1,0,25,West,0
50,50,679.06,14.28,123.4,1,2.5,1,2-Year,Basic,1,0,200,West,0
51,4,1043.49,13.91,131.5,0,2.9,2,Monthly,Standard,1,10,25,North,0
52,2,461.61,12.09,74.1,1,0.1,3,Monthly,Basic,0,0,200,East,0
53,6,1420.33,17.06,112.8,2,1.5,0,Monthly,Basic,1,15,25,West,0
54,54,823.86,16.85,127.0,1,3.1,1,Annual,Basic,1,5,25,South,0
55,4,923.83,11.0,127.1,1,3.6,2,Annual,Premium,0,5,50,South,1
56,54,944.76,13.93,106.4,1,3.0,3,2-Year,Standard,1,15,25,South,0
57,63,1051.89,11.04,122.0,4,1.2,2,Monthly,Basic,0,15,100,West,1
58,18,520.21,10.77,80.5,1,0.3,1,2-Year,Premium,1,0,50,West,1
59,44,898.67,4.62,102.5,0,1.7,1,Annual,Basic,1,0,25,South,0
60,34,735.31,13.61,86.0,0,0.4,0,Monthly,Premium,0,10,25,West,0
61,62,477.61,4.79,78.0,1,8.8,2,Annual,Standard,0,5,50,South,0
62,14,1146.78,12.22,101.1,1,1.9,2,Annual,Basic,1,0,25,North,0
63,48,811.96,11.32,110.4,1,1.1,1,Annual,Standard,1,20,100,West,0
64,15,960.63,21.31,134.9,1,4.4,2,Monthly,Standard,1,0,50,North,0
65,62,944.96,8.91,108.0,3,2.1,3,Monthly,Standard,0,0,25,North,0
66,40,816.29,10.43,119.3,1,1.1,2,Monthly,Premium,1,0,50,West,0
67,53,1393.76,12.71,119.6,1,5.0,2,Monthly,Basic,1,10,25,South,0
68,24,888.18,11.52,180.6,0,6.1,3,Annual,Basic,0,10,25,East,0
69,26,510.51,23.22,45.7,0,3.4,2,Monthly,Basic,0,0,25,North,0
70,60,799.9,8.17,79.4,3,0.1,2,Annual,Basic,0,0,200,West,0
71,41,1024.93,12.72,144.2,0,2.5,1,Monthly,Basic,0,0,200,North,0
72,29,1033.15,16.99,89.4,2,4.3,4,Monthly,Premium,1,10,100,South,0
73,15,628.05,20.29,126.6,1,0.4,5,Annual,Basic,0,0,50,West,0
74,45,1132.37,12.72,106.9,2,0.8,1,Monthly,Standard,1,20,25,East,0
75,65,459.28,3.49,163.2,1,6.4,1,2-Year,Standard,1,0,50,West,0
76,71,1186.03,14.1,66.6,0,0.1,4,Monthly,Premium,0,20,100,North,0
77,9,570.16,23.11,136.7,0,4.2,2,Monthly,Premium,1,0,200,West,1
78,1,843.44,16.69,152.5,5,1.9,4,2-Year,Standard,0,10,25,West,1
79,8,1166.14,16.42,69.6,1,1.8,3,Annual,Premium,1,0,25,North,0
80,63,929.9,8.62,123.5,1,0.0,2,Monthly,Standard,0,0,100,East,0
81,11,1104.17,8.01,71.0,0,5.1,2,Monthly,Premium,1,15,100,South,0
82,8,1054.67,15.11,100.9,2,1.3,0,Annual,Standard,1,15,100,West,0
83,35,1221.57,6.44,92.3,0,2.3,2,2-Year,Basic,1,5,100,East,0
84,35,1165.55,19.69,27.9,0,3.4,0,2-Year,Standard,1,10,200,South,0
85,33,786.56,9.92,112.7,0,3.6,4,Monthly,Standard,1,5,50,North,0
86,5,1058.24,14.85,104.3,0,9.4,3,2-Year,Basic,0,15,200,East,0
87,41,518.36,3.69,144.4,2,2.3,3,Monthly,Basic,1,0,200,East,0
88,28,885.52,12.64,118.3,1,1.5,0,Monthly,Standard,1,5,100,West,0
89,7,1104.62,7.88,168.7,0,9.2,4,2-Year,Premium,1,5,50,North,0
90,12,933.46,1.07,103.2,2,3.1,2,Monthly,Basic,0,0,25,West,0
91,34,1011.66,18.25,96.8,0,1.1,1,Monthly,Standard,0,15,50,North,0
92,33,846.68,24.85,94.5,2,0.4,1,Monthly,Standard,1,0,50,South,0
93,48,1182.27,21.78,86.8,0,5.5,3,Monthly,Premium,1,0,200,West,0
94,23,879.9,19.09,33.8,1,1.3,2,Annual,Premium,0,5,25,North,0
95,62,783.64,12.52,93.4,0,3.2,1,Annual,Standard,1,10,25,North,0
96,37,1121.63,19.84,38.0,1,1.9,2,Monthly,Standard,1,0,100,East,0
97,44,548.71,22.34,113.6,1,0.7,1,Annual,Basic,1,0,25,West,0
98,35,1025.26,15.82,62.8,0,2.8,2,2-Year,Standard,1,20,50,West,0
99,65,639.38,7.89,73.2,0,0.2,3,2-Year,Standard,0,0,50,South,0
100,47,1219.48,12.0,79.9,0,1.6,2,Monthly,Premium,0,10,100,North,0
101,3,834.74,25.22,93.9,1,2.4,1,2-Year,Standard,0,10,25,East,0
102,1,933.75,14.55,100.2,1,1.7,0,Annual,Basic,1,5,200,North,0
103,5,1003.14,1.0,132.5,1,4.1,0,Monthly,Standard,1,20,50,North,0
104,14,417.58,6.19,82.7,0,5.3,1,Monthly,Basic,0,10,200,North,1
105,27,737.35,12.45,114.4,1,4.4,2,Monthly,Basic,1,5,50,West,0
106,9,1160.89,21.21,181.9,3,0.1,2,Annual,Basic,1,5,25,North,0
107,15,1116.94,13.36,111.3,1,0.6,2,Monthly,Basic,0,10,25,South,0
108,42,970.76,21.33,94.6,0,2.3,1,Annual,Premium,0,5,25,East,0
109,51,562.63,11.84,76.6,1,8.2,1,Monthly,Basic,1,15,50,East,0
110,63,1046.38,3.21,94.2,1,5.4,2,2-Year,Basic,0,0,25,North,0
111,52,1078.35,12.05,73.4,2,5.5,0,Monthly,Premium,1,0,50,East,0
112,4,911.75,17.07,108.1,2,1.1,1,2-Year,Basic,1,0,50,North,0
113,23,1205.79,16.57,103.1,0,1.7,3,2-Year,Basic,1,0,25,West,0
114,15,729.14,7.47,35.1,1,1.9,0,Monthly,Basic,1,0,25,East,0
115,43,772.54,12.89,99.4,2,0.5,0,Monthly,Basic,1,15,100,West,0
116,29,300.0,31.11,132.3,2,0.1,1,Monthly,Basic,1,10,200,West,1
117,36,1129.96,7.6,88.0,1,8.8,1,2-Year,Basic,1,10,25,South,0
118,13,978.47,18.96,80.4,4,0.8,0,Annual,Standard,1,10,25,South,0
119,32,479.54,2.42,58.7,2,0.8,2,Monthly,Basic,0,15,200,East,1
120,71,460.35,20.18,44.3,4,0.3,2,Monthly,Basic,0,5,25,North,0
121,59,681.84,9.65,124.9,2,7.9,2,Monthly,Premium,1,15,200,North,0
122,28,1098.41,17.41,94.6,1,2.6,0,2-Year,Standard,1,0,25,North,0
123,66,824.91,7.25,123.2,2,3.3,3,Annual,Premium,0,20,200,North,0
124,42,698.8,16.75,145.9,1,7.3,0,2-Year,Standard,0,10,50,South,0
125,45,648.47,9.55,127.6,2,1.3,2,Monthly,Basic,1,0,200,North,0
126,62,637.27,10.71,83.7,0,2.9,3,Monthly,Standard,0,5,50,North,0
127,57,416.58,17.65,104.3,2,0.1,4,2-Year,Basic,1,5,100,West,0
128,6,598.15,12.42,81.6,3,0.6,2,Monthly,Basic,1,0,25,North,0
129,28,632.36,17.28,78.8,2,5.3,2,2-Year,Standard,1,5,25,North,0
130,28,1070.66,13.85,110.3,1,4.4,1,Monthly,Standard,0,0,100,South,0
131,44,858.57,15.4,75.0,1,1.3,4,Monthly,Standard,0,0,50,East,0
132,30,693.6,17.67,33.7,0,1.4,3,Annual,Premium,0,20,200,West,0
133,62,1477.43,12.9,73.4,0,2.3,3,2-Year,Basic,0,10,50,West,0
134,62,734.03,9.02,90.8,0,0.0,2,2-Year,Standard,1,15,200,East,0
135,1,1191.78,11.81,145.6,1,0.8,1,Monthly,Standard,1,10,50,West,0
136,27,1305.28,22.17,85.3,3,0.7,3,Monthly,Premium,0,0,200,North,1
137,62,507.51,15.7,115.4,3,0.9,1,Annual,Premium,0,5,200,North,0
138,3,918.49,9.93,95.0,2,4.9,0,Annual,Premium,0,10,50,East,0
139,70,770.62,17.41,136.8,1,1.0,3,Annual,Basic,1,20,200,South,0
140,27,750.27,17.81,134.7,1,0.6,2,Monthly,Standard,1,0,100,South,0
141,9,1038.84,18.12,135.3,1,2.1,3,2-Year,Basic,1,15,25,West,0
142,62,744.28,9.13,48.0,1,6.0,3,Annual,Basic,1,20,100,South,0
143,37,776.01,10.91,106.2,2,0.8,0,2-Year,Premium,1,10,25,South,0
144,51,857.97,10.94,122.8,1,0.2,3,Annual,Basic,1,20,100,South,0
145,44,806.65,12.84,111.4,2,1.3,2,Monthly,Premium,0,0,25,South,1
146,24,606.61,18.23,119.1,1,4.1,2,2-Year,Basic,1,20,25,South,0
147,59,1098.98,16.78,101.8,2,2.4,3,Annual,Premium,0,10,50,South,0
148,32,1162.13,17.25,77.7,0,5.1,1,2-Year,Basic,1,0,50,South,0
149,52,985.9,23.12,49.1,0,9.6,1,2-Year,Basic,0,20,200,West,0
150,62,805.86,19.13,80.6,0,4.7,2,Annual,Basic,1,5,200,North,0
151,58,723.7,14.15,180.3,1,2.8,1,Annual,Standard,0,5,50,South,0
152,52,724.09,7.9,85.4,2,2.0,0,Monthly,Basic,1,5,25,North,0
153,12,1489.34,10.71,41.2,4,0.1,2,Monthly,Standard,0,0,100,East,0
154,39,1134.46,13.43,122.0,0,12.5,4,Monthly,Basic,1,5,50,North,0
155,2,689.97,19.97,125.7,1,1.5,2,Monthly,Basic,1,15,50,East,1
156,3,941.17,14.84,138.6,1,0.5,0,Monthly,Basic,0,0,50,West,0
157,56,809.37,11.06,114.1,2,3.3,1,Monthly,Standard,1,0,50,North,0
158,59,1045.95,10.6,125.4,1,1.0,5,Monthly,Premium,1,0,50,East,0
159,2,1035.87,14.58,155.2,4,2.6,4,Monthly,Premium,0,5,100,North,1
160,2,1170.9,20.34,77.6,0,2.7,4,Monthly,Basic,1,10,50,West,1
161,54,687.36,24.55,71.7,2,1.8,4,Monthly,Standard,1,10,200,North,0
162,1,926.18,13.77,67.2,1,5.4,3,Annual,Standard,1,20,50,East,0
163,19,462.86,14.73,92.0,1,0.9,2,Annual,Basic,0,10,25,South,0
164,2,585.66,7.72,143.0,0,1.8,1,Monthly,Standard,1,0,200,South,0
165,53,1121.03,26.64,115.8,1,2.3,1,Annual,Standard,1,20,50,South,0
166,44,662.33,6.59,114.7,0,3.3,1,2-Year,Basic,1,10,25,West,0
167,32,689.77,22.03,45.4,1,4.6,0,Monthly,Basic,1,5,100,South,0
168,70,897.93,12.81,79.2,1,1.5,1,Annual,Basic,0,10,50,West,0
169,32,1073.69,11.4,44.9,1,3.1,4,2-Year,Standard,0,20,100,South,0
170,68,634.79,8.34,135.1,3,0.5,0,2-Year,Basic,1,10,50,West,1
171,55,300.0,29.46,147.6,1,8.1,1,Monthly,Basic,1,0,100,West,0
172,56,682.44,16.33,123.4,1,1.4,3,Annual,Basic,1,10,25,North,0
173,17,1201.41,15.13,70.4,1,3.9,1,Monthly,Basic,0,0,50,South,1
174,38,985.78,20.32,144.5,2,0.1,2,Annual,Basic,1,0,200,North,0
175,24,1230.97,11.1,92.4,0,0.7,1,2-Year,Premium,0,5,100,East,0
176,69,617.05,15.01,63.6,3,2.0,2,Annual,Basic,1,0,25,South,0
177,70,490.15,15.34,71.1,1,6.3,3,2-Year,Standard,1,0,25,South,0
178,11,1015.64,11.93,87.1,0,2.2,1,Monthly,Basic,1,0,50,South,0
179,16,960.01,22.2,101.5,0,8.0,5,2-Year,Standard,0,10,100,South,0
180,59,976.39,13.69,95.2,1,2.0,5,Annual,Standard,1,15,100,North,0
181,70,1133.25,5.68,57.6,0,2.0,1,Monthly,Basic,1,20,100,North,0
182,3,1005.42,13.19,136.4,2,0.4,0,Annual,Premium,1,0,50,West,0
183,20,1001.4,16.5,95.5,1,4.9,1,Monthly,Standard,0,5,100,North,0
184,59,1078.75,9.64,78.6,0,0.9,3,Monthly,Premium,1,20,50,West,0
185,36,1025.6,10.11,133.3,0,6.9,1,2-Year,Standard,0,0,25,East,0
186,19,1114.36,11.72,64.5,1,7.3,0,Monthly,Premium,1,10,50,North,1
187,67,1152.13,22.33,51.1,0,8.6,3,Annual,Standard,0,10,200,West,0
188,19,1282.92,12.08,138.2,2,2.2,2,Monthly,Premium,0,0,100,South,0
189,20,737.7,23.57,156.7,1,3.4,0,Monthly,Standard,0,15,50,East,0
190,71,1020.14,11.31,86.1,1,4.5,0,2-Year,Standard,0,15,100,West,0
191,52,807.42,16.95,98.6,1,0.4,1,Monthly,Standard,0,0,200,East,0
192,33,691.61,12.32,65.6,1,2.8,2,Annual,Premium,1,0,50,South,0
193,40,727.61,19.52,100.2,1,0.1,1,Annual,Premium,0,0,50,South,0
194,39,1023.74,8.29,85.7,5,2.1,0,Annual,Basic,1,0,200,West,1
195,1,1004.56,19.46,96.9,0,0.5,3,2-Year,Standard,0,5,200,West,0
196,11,1000.1,15.68,112.3,1,0.6,0,Annual,Basic,1,5,50,South,0
197,57,843.57,11.16,67.1,2,1.4,2,Monthly,Standard,1,0,50,West,0
198,50,900.85,14.0,89.1,1,1.7,1,2-Year,Basic,0,20,50,South,1
199,23,1104.44,24.2,45.9,0,2.9,1,Monthly,Basic,1,0,25,North,0
200,31,527.65,15.83,89.4,2,0.2,3,Annual,Premium,0,0,200,West,0
201,42,906.16,10.78,97.2,1,2.1,2,2-Year,Basic,1,0,50,East,0
202,7,922.49,7.77,106.9,1,0.6,3,Annual,Standard,1,5,200,South,0
203,16,1088.33,18.03,107.2,1,2.6,3,2-Year,Standard,0,5,25,North,0
204,60,562.44,16.18,127.1,0,3.0,5,Annual,Basic,0,0,50,West,0
205,2,1273.78,19.17,53.8,0,2.4,2,2-Year,Basic,0,0,25,South,0
206,1,953.41,6.23,55.4,2,4.0,0,2-Year,Standard,0,15,100,North,0
207,48,966.65,7.97,115.9,0,1.2,1,Monthly,Basic,1,20,50,West,0
208,12,799.66,21.88,38.8,3,4.3,1,Monthly,Premium,1,0,100,South,0
209,69,1034.51,16.99,105.5,2,1.7,2,Monthly,Premium,0,0,25,South,0
210,37,911.99,18.2,64.6,4,2.0,3,Annual,Basic,0,10,25,South,0
211,32,1202.25,9.22,147.2,1,3.1,4,Monthly,Basic,0,10,25,West,0
212,9,539.63,9.11,107.5,3,0.1,0,Monthly,Standard,0,0,25,North,0
213,19,943.89,20.95,93.4,0,3.2,1,Monthly,Standard,1,20,100,South,0
214,48,1002.13,21.23,136.8,2,2.9,2,2-Year,Basic,0,5,50,North,0
215,3,853.41,8.47,68.1,1,1.1,2,Annual,Basic,1,5,100,North,0
216,20,798.83,7.32,73.8,1,0.3,3,Monthly,Standard,0,10,50,East,0
217,24,809.26,14.35,62.2,0,0.3,1,Monthly,Premium,0,20,25,North,0
218,54,943.66,10.2,74.0,1,7.7,1,Monthly,Basic,1,10,25,North,0
219,33,447.51,10.08,101.8,0,3.5,2,Monthly,Standard,1,0,25,North,0
220,24,1141.25,7.49,114.8,0,0.4,0,Monthly,Premium,1,0,100,North,0
221,36,779.97,12.19,128.8,2,1.3,3,2-Year,Standard,1,5,100,North,0
222,38,931.95,8.07,45.3,0,2.7,3,2-Year,Standard,1,0,25,West,0
223,25,991.78,8.43,94.8,0,5.4,3,Monthly,Standard,0,10,25,East,0
224,18,768.55,16.79,66.8,3,0.1,3,Monthly,Premium,1,15,200,South,0
225,66,867.24,14.67,93.8,2,0.8,2,Monthly,Standard,1,10,100,East,0
226,54,391.19,17.91,170.0,1,6.6,5,Monthly,Premium,0,20,100,East,0
227,35,1083.03,5.11,108.8,4,0.0,3,Monthly,Standard,1,0,50,South,0
228,61,1170.02,15.06,127.0,1,0.7,1,Monthly,Standard,0,15,25,North,0
229,41,474.75,27.45,158.8,1,9.6,4,Monthly,Basic,0,10,200,South,0
230,33,798.38,12.77,133.8,2,2.9,2,Annual,Basic,1,0,100,North,0
231,68,592.53,19.95,86.6,2,0.9,2,Annual,Standard,1,10,50,South,0
232,33,855.56,19.9,61.7,1,0.2,0,Annual,Basic,1,0,100,West,0
233,14,1062.16,20.19,99.1,1,0.1,1,Monthly,Standard,0,10,100,East,0
234,21,1146.83,16.0,83.0,3,0.8,2,2-Year,Basic,1,5,25,North,0
235,48,1180.46,18.4,54.3,3,6.4,1,2-Year,Premium,1,0,50,East,0
236,20,1227.64,19.19,107.2,1,1.6,3,Monthly,Basic,0,10,25,North,0
237,8,844.4,18.81,108.0,1,3.8,5,Monthly,Premium,1,10,25,South,0
238,7,613.26,8.3,153.1,1,7.5,2,Annual,Standard,1,0,100,South,0
239,67,871.35,4.76,89.1,2,1.6,2,Monthly,Basic,1,0,25,South,0
240,17,1058.32,5.68,108.4,0,0.6,2,Monthly,Standard,0,5,100,West,0
241,33,593.19,13.38,80.0,0,2.2,1,Annual,Basic,0,5,200,South,0
242,48,1315.03,18.56,126.2,1,7.2,1,Annual,Basic,1,15,25,South,0
243,59,1124.47,8.37,96.3,1,4.9,3,Monthly,Basic,1,20,50,West,0
244,22,848.36,20.54,64.8,0,0.2,4,Annual,Basic,1,5,100,East,0
245,30,722.28,11.99,99.6,2,3.5,2,2-Year,Premium,0,10,100,East,1
246,38,732.72,12.04,111.7,2,2.5,4,Monthly,Basic,1,5,100,North,0
247,51,918.55,9.98,107.7,1,7.1,2,Annual,Standard,1,10,50,East,0
248,54,842.65,3.69,131.4,1,0.4,3,Monthly,Basic,0,0,50,North,0
249,8,1137.63,16.38,56.6,2,2.3,2,Monthly,Standard,1,0,50,North,1
250,27,814.26,25.28,74.7,2,6.3,3,Annual,Basic,1,10,200,East,1
251,27,1026.38,14.62,119.2,3,1.6,2,Monthly,Standard,0,0,50,East,0
252,21,892.77,3.9,78.2,3,2.0,3,Monthly,Standard,0,10,200,West,0
253,30,967.42,19.68,107.2,2,0.2,0,Monthly,Standard,1,15,25,North,0
254,28,842.49,5.25,27.4,0,1.0,2,Annual,Basic,1,0,200,East,0
255,64,1076.93,7.75,181.5,2,1.2,2,Annual,Standard,1,5,100,East,0
256,69,1080.64,13.57,91.9,1,8.7,3,Monthly,Basic,0,15,50,West,0
257,61,1014.98,15.74,135.8,1,1.0,2,Annual,Basic,0,10,100,East,0
258,48,1051.88,8.95,89.9,2,1.9,0,Monthly,Standard,1,0,25,South,0
259,19,663.91,13.34,112.4,2,3.3,1,Annual,Standard,1,0,25,South,0
260,4,980.81,19.29,144.8,2,0.5,4,Monthly,Standard,0,10,25,North,1
261,35,1212.3,20.11,135.0,0,2.0,2,Annual,Standard,1,5,25,West,0
262,64,1022.85,22.51,93.9,0,4.0,2,2-Year,Basic,0,0,50,East,0
263,49,642.32,26.46,95.9,0,6.0,1,2-Year,Basic,0,0,100,North,0
264,17,887.56,19.86,130.1,2,3.0,2,Monthly,Basic,0,15,100,East,0
265,44,993.74,13.7,170.0,0,3.3,1,2-Year,Standard,0,10,25,South,0
266,30,710.65,20.16,105.8,2,0.4,2,Monthly,Standard,1,20,200,East,0
267,46,560.43,17.8,158.7,2,8.7,1,2-Year,Basic,1,10,100,East,0
268,6,820.98,18.04,92.8,2,0.4,2,Monthly,Standard,1,20,200,East,0
269,37,714.79,16.06,128.6,1,4.5,1,Monthly,Standard,1,0,100,South,0
270,24,896.43,9.53,133.0,0,0.9,3,Monthly,Standard,1,10,25,South,0
271,46,502.15,8.83,87.7,1,8.1,1,Monthly,Standard,1,0,50,West,1
272,53,1041.18,14.42,77.6,0,3.8,2,Annual,Standard,1,10,100,South,0
273,60,741.35,15.89,134.4,0,4.2,1,2-Year,Standard,1,5,25,North,0
274,63,1148.94,10.92,84.1,0,0.7,0,Annual,Basic,1,0,25,East,0
275,32,830.78,17.54,73.2,1,1.8,1,Annual,Basic,1,15,25,South,0
276,33,893.65,27.48,79.5,1,2.9,2,Annual,Basic,0,15,25,North,1
277,67,856.74,4.53,83.9,1,4.4,0,Monthly,Standard,1,0,50,South,0
278,18,727.96,18.49,125.7,1,0.3,2,Monthly,Premium,1,10,50,East,0
279,25,1518.07,14.6,115.5,2,9.8,2,Monthly,Standard,1,0,25,North,0
280,54,776.03,17.7,121.5,1,6.6,0,Monthly,Basic,0,5,100,South,0
281,58,1155.88,12.42,112.6,3,0.9,1,Monthly,Standard,1,15,50,South,0
282,67,626.59,14.12,82.2,3,5.2,2,Monthly,Premium,1,0,25,North,0
283,46,993.03,15.78,120.9,1,2.2,0,Monthly,Premium,0,20,25,West,0
284,24,1019.72,13.19,135.5,1,1.9,4,Monthly,Standard,1,0,25,North,1
285,32,893.96,5.88,117.5,1,1.1,4,2-Year,Premium,0,10,50,North,0
286,47,757.25,13.6,113.5,0,2.6,1,Monthly,Basic,0,10,25,North,0
287,23,834.17,6.5,77.0,2,3.9,2,Annual,Basic,1,0,50,North,0
288,66,799.18,18.92,106.4,1,1.6,3,Annual,Basic,1,0,100,South,0
289,27,1500.51,3.81,75.4,0,3.0,4,Annual,Standard,1,15,50,North,1
290,2,894.35,21.17,99.3,1,3.6,3,Monthly,Basic,1,10,25,North,1
291,17,1031.22,17.58,50.8,0,3.7,1,Monthly,Standard,0,0,50,East,0
292,33,1345.41,17.6,51.0,1,0.2,3,Monthly,Standard,0,5,100,South,0
293,9,680.92,2.01,94.3,1,5.9,1,Monthly,Basic,0,0,200,East,0
294,43,909.42,13.03,83.5,2,1.8,1,Monthly,Premium,0,0,100,South,0
295,48,832.7,21.92,103.2,1,0.9,1,Annual,Basic,1,5,50,West,0
296,39,878.47,11.89,96.0,2,0.8,3,Annual,Basic,1,0,50,West,0
297,42,855.25,8.53,100.9,0,2.0,0,Annual,Standard,0,15,50,South,0
298,26,717.03,11.18,118.3,2,6.5,3,Monthly,Basic,0,10,200,West,0
299,50,948.85,14.59,86.1,0,1.4,0,Monthly,Standard,1,20,25,West,0
300,25,634.34,9.89,93.4,2,4.2,2,2-Year,Premium,0,10,200,South,0
301,24,1147.22,22.4,143.7,1,0.3,0,Monthly,Premium,1,20,100,North,0
302,13,1055.83,14.61,100.1,1,1.9,0,Annual,Premium,1,5,100,East,0
303,60,776.63,11.67,94.6,1,14.4,0,Annual,Basic,0,10,25,South,0
304,7,788.75,7.19,102.5,3,4.4,1,Monthly,Standard,0,20,100,South,0
305,57,968.88,17.91,95.2,0,0.7,1,Monthly,Basic,1,10,50,South,0
306,36,700.36,17.77,78.7,2,2.1,3,Monthly,Basic,0,0,25,East,0
307,45,1353.0,10.25,70.1,2,0.8,1,Monthly,Basic,0,10,25,South,0
308,20,989.48,1.58,77.1,1,1.6,0,Monthly,Basic,0,20,200,East,0
309,65,998.32,17.46,126.2,1,4.5,3,Monthly,Premium,1,10,50,East,0
310,8,1070.36,13.88,81.1,2,4.4,2,Monthly,Basic,1,5,50,West,0
311,16,755.13,17.02,95.4,2,0.8,1,Annual,Standard,0,10,25,North,0
312,14,1172.25,26.74,121.0,1,7.7,1,2-Year,Standard,1,20,100,West,1
313,15,928.63,14.84,91.6,0,2.7,3,Monthly,Standard,1,0,100,South,0
314,66,1137.54,11.92,119.0,1,1.4,3,2-Year,Premium,1,10,100,South,0
315,32,850.51,8.12,53.8,0,2.1,1,2-Year,Basic,0,0,50,East,0
316,63,1229.32,13.13,96.0,2,2.8,2,2-Year,Standard,1,10,50,West,0
317,51,1000.34,15.96,102.4,3,2.5,3,2-Year,Standard,1,10,50,East,0
318,25,1445.63,15.32,100.7,2,2.0,2,Monthly,Basic,0,0,25,West,0
319,58,807.62,25.34,50.4,1,2.1,1,Monthly,Standard,0,0,200,West,0
