customer_id,age,gender,country,avg_order_value,total_orders,last_purchase,is_fraudulent,preferred_category,email_open_rate,customer_since,loyalty_score,churn_risk,avg_order_value_clean,email_open_rate_clean,customer_record_count,estimated_customer_value,recency_segment,churn_risk_segment,age_group,customer_tenure_days,loyalty_segment,fraud_status,customer_value_segment,customer_priority,data_quality_flag,customer_since_sql,customer_tenure_days_sql
CUST_2685,69,Female,India,128.78,7,119,0,Fashion,48.6,06-10-2024,76,0.11,128.78,48.6,1,901.46,Inactive,Low Risk,55+,20-11-1901,High Loyalty,Legitimate,Low Value,Stable,Check Data,2024-10-06,1901-11-20
CUST_1769,24,Female,Canada,88.23,14,177,0,Beauty,83.6,05-05-2024,26,0.12,88.23,83.6,3,1235.22,Inactive,Low Risk,Under 25,23-04-1902,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2024-05-05,1902-04-23
CUST_7949,19,Male,India,77.24,12,128,0,Home,26.5,28-06-2021,45,0.63,77.24,26.5,3,926.88,Inactive,High Risk,Under 25,28-02-1905,Medium Loyalty,Legitimate,Low Value,At Risk - Develop,Check Data,2021-06-28,1905-02-28
CUST_3433,71,Female,Brazil,91.39,8,50,0,Home,21.1,15-07-2022,95,0.34,91.39,21.1,2,731.12,At Risk,Medium Risk,55+,12-02-1904,High Loyalty,Legitimate,Low Value,Stable,Check Data,2022-07-15,1904-02-12
CUST_6311,73,Female,India,131.23,7,41,0,Sports,80.3,21-05-2024,35,0.61,131.23,80.3,1,918.61,At Risk,High Risk,55+,07-04-1902,Low Loyalty,Legitimate,Low Value,At Risk - Develop,Check Data,2024-05-21,1902-04-07
CUST_6051,77,Female,China,95.89,9,317,0,Beauty,44.4,26-04-2021,78,0.23,95.89,44.4,3,863.01,Inactive,Medium Risk,55+,02-05-1905,High Loyalty,Legitimate,Low Value,Stable,Check Data,2021-04-26,1905-05-02
CUST_7420,40,Male,Brazil,107.03,11,94,0,Sports,27.4,10-11-2021,7,0.27,107.03,27.4,3,1177.33,Inactive,Medium Risk,35-44,16-10-1904,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-11-10,1904-10-16
CUST_2184,56,Female,India,123.34,8,241,0,Beauty,41.8,24-10-2024,67,0.13,123.34,41.8,4,986.72,Inactive,Low Risk,55+,02-11-1901,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2024-10-24,1901-11-02
CUST_5555,57,Female,USA,87.13,8,355,0,Fashion,42.5,27-11-2023,53,0.33,87.13,42.5,3,697.04,Inactive,Medium Risk,55+,30-09-1902,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2023-11-27,1902-09-30
CUST_4385,56,Male,Canada,58.03,11,60,0,Home,57.2,30-10-2022,41,0.2,58.03,57.2,1,638.33,At Risk,Medium Risk,55+,28-10-1903,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2022-10-30,1903-10-28
CUST_7396,38,Male,Germany,32.99,11,348,0,Electronics,3.8,23-01-2025,4,0.15,32.99,3.8,3,362.89,Inactive,Low Risk,35-44,03-08-1901,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2025-01-23,1901-08-03
CUST_9666,40,Female,UK,191.86,8,227,0,Home,24.8,30-06-2024,2,0.31,191.86,24.8,2,1534.88,Inactive,Medium Risk,35-44,26-02-1902,Low Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2024-06-30,1902-02-26
CUST_3558,46,Female,Brazil,127.42,8,276,0,Beauty,46.7,16-11-2020,35,0.1,127.42,46.7,1,1019.36,Inactive,Low Risk,45-54,10-10-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2020-11-16,1905-10-10
CUST_8849,31,Male,Japan,186.72,7,17,0,Home,54.2,22-05-2021,33,0.08,186.72,54.2,1,1307.04,Active,Low Risk,25-34,06-04-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-05-22,1905-04-06
CUST_3047,43,Female,UK,105.48,15,243,0,Electronics,15.9,10-08-2020,50,0.38,105.48,15.9,1,1582.2,Inactive,Medium Risk,35-44,16-01-1906,Medium Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2020-08-10,1906-01-16
CUST_3747,68,Male,France,220.27,1,310,0,Fashion,19.4,15-02-2023,13,0.25,220.27,19.4,1,220.27,Inactive,Medium Risk,55+,12-07-1903,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-02-15,1903-07-12
CUST_1189,22,Female,Brazil,137.27,6,323,0,Fashion,72.8,21-04-2021,7,0.43,137.27,72.8,1,823.62,Inactive,Medium Risk,Under 25,07-05-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-04-21,1905-05-07
CUST_3734,72,Other,Brazil,64.45,12,46,0,Beauty,78.6,01-12-2023,39,0.37,64.45,78.6,2,773.4,At Risk,Medium Risk,55+,26-09-1902,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-12-01,1902-09-26
CUST_4005,48,Female,India,55,11,309,0,Home,7.5,20-01-2024,91,0.44,55,7.5,2,605,Inactive,Medium Risk,45-54,07-08-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2024-01-20,1902-08-07
CUST_5658,42,Male,Brazil,61.94,8,17,0,Beauty,99,18-09-2021,49,0.41,61.94,99,3,495.52,Active,Medium Risk,35-44,08-12-1904,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2021-09-18,1904-12-08
CUST_2899,48,Female,Canada,,8,200,0,Home,43.3,29-12-2022,3,0.27,250,43.3,1,2000,Inactive,Medium Risk,45-54,29-08-1903,Low Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2022-12-29,1903-08-29
CUST_8734,67,Male,Australia,109.18,11,252,0,Sports,58.6,21-08-2021,17,0.31,109.18,58.6,1,1200.98,Inactive,Medium Risk,55+,05-01-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-08-21,1905-01-05
CUST_2267,37,Male,Australia,75.98,6,191,0,Beauty,59.4,06-01-2021,25,0.22,75.98,59.4,1,455.88,Inactive,Medium Risk,35-44,20-08-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-01-06,1905-08-20
CUST_2528,61,Female,France,46.66,7,48,0,Home,34.6,22-12-2023,94,0.34,46.66,34.6,1,326.62,At Risk,Medium Risk,55+,05-09-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2023-12-22,1902-09-05
CUST_4556,72,Female,China,106.23,13,93,0,Sports,54.5,10-10-2023,14,0.25,106.23,54.5,1,1380.99,Inactive,Medium Risk,55+,17-11-1902,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-10-10,1902-11-17
CUST_4890,34,Male,Germany,112.56,13,236,0,Beauty,58.3,02-10-2021,93,0.28,112.56,58.3,1,1463.28,Inactive,Medium Risk,25-34,24-11-1904,High Loyalty,Legitimate,Low Value,Stable,Check Data,2021-10-02,1904-11-24
CUST_9838,62,Other,China,175.73,14,221,0,Fashion,76.1,01-11-2021,5,0.33,175.73,76.1,1,2460.22,Inactive,Medium Risk,55+,25-10-1904,Low Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2021-11-01,1904-10-25
CUST_6393,19,Female,Canada,22.72,12,166,0,Sports,66.2,19-06-2024,71,0.05,22.72,66.2,1,272.64,Inactive,Low Risk,Under 25,09-03-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2024-06-19,1902-03-09
CUST_9792,42,Male,Canada,103.97,13,253,0,Beauty,44.7,15-11-2024,83,0.09,103.97,44.7,3,1351.61,Inactive,Low Risk,35-44,11-10-1901,High Loyalty,Legitimate,Low Value,Stable,Check Data,2024-11-15,1901-10-11
CUST_9433,30,Female,USA,43.35,13,56,0,Electronics,19.1,25-01-2025,33,0.08,43.35,19.1,3,563.55,At Risk,Low Risk,25-34,01-08-1901,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2025-01-25,1901-08-01
CUST_8513,75,Female,Australia,48.94,11,5,0,Fashion,2.5,17-02-2022,85,0.14,48.94,2.5,1,538.34,Active,Low Risk,55+,09-07-1904,High Loyalty,Legitimate,Low Value,Stable,Check Data,2022-02-17,1904-07-09
CUST_3612,56,Female,UK,53.17,5,237,0,Sports,65.2,07-04-2023,51,0.09,53.17,65.2,1,265.85,Inactive,Low Risk,55+,22-05-1903,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2023-04-07,1903-05-22
CUST_8041,45,Female,Japan,26.94,10,220,0,Home,47.8,16-01-2025,85,0.38,26.94,47.8,2,269.4,Inactive,Medium Risk,45-54,10-08-1901,High Loyalty,Legitimate,Low Value,Stable,Check Data,2025-01-16,1901-08-10
CUST_7235,59,Female,Brazil,112.99,8,223,0,Electronics,96.6,05-01-2023,17,0.41,112.99,96.6,1,903.92,Inactive,Medium Risk,55+,22-08-1903,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-01-05,1903-08-22
CUST_6486,72,Male,Germany,100.28,10,77,0,Home,9.8,29-12-2020,87,0.19,100.28,9.8,2,1002.8,At Risk,Low Risk,55+,28-08-1905,High Loyalty,Legitimate,Low Value,Stable,Check Data,2020-12-29,1905-08-28
CUST_8099,23,Female,Japan,66.53,9,19,0,Electronics,7.3,21-07-2022,61,0.06,66.53,7.3,3,598.77,Active,Low Risk,Under 25,06-02-1904,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2022-07-21,1904-02-06
CUST_1775,20,Female,China,99.42,12,305,0,Beauty,18.1,13-04-2021,91,0.3,99.42,18.1,2,1193.04,Inactive,Medium Risk,Under 25,15-05-1905,High Loyalty,Legitimate,Low Value,Stable,Check Data,2021-04-13,1905-05-15
CUST_9226,75,Male,Japan,107.61,14,264,0,Beauty,37.7,14-01-2022,31,0.25,107.61,37.7,2,1506.54,Inactive,Medium Risk,55+,12-08-1904,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2022-01-14,1904-08-12
CUST_4152,52,Female,USA,77.22,9,203,0,Home,17.5,31-08-2023,15,0.21,77.22,17.5,1,694.98,Inactive,Medium Risk,45-54,27-12-1902,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-08-31,1902-12-27
CUST_2585,35,Other,Germany,35.2,10,141,0,Home,46.4,06-04-2024,40,0.15,35.2,46.4,1,352,Inactive,Low Risk,35-44,22-05-1902,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2024-04-06,1902-05-22
CUST_4943,28,Other,Germany,82.36,9,303,0,Home,34,18-11-2024,65,0.19,82.36,34,1,741.24,Inactive,Low Risk,25-34,08-10-1901,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2024-11-18,1901-10-08
CUST_8555,71,Male,USA,26.6,7,79,0,Sports,99.9,02-09-2020,20,0.28,26.6,99.9,1,186.2,At Risk,Medium Risk,55+,24-12-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2020-09-02,1905-12-24
CUST_4073,37,Male,Canada,99.86,13,209,0,Fashion,96.7,24-06-2025,34,0.24,99.86,96.7,1,1298.18,Inactive,Medium Risk,35-44,04-03-1901,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2025-06-24,1901-03-04
CUST_2021,22,Female,USA,,9,255,0,Home,36.5,15-12-2021,65,0.13,250,36.5,1,2250,Inactive,Low Risk,Under 25,11-09-1904,Medium Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2021-12-15,1904-09-11
CUST_4843,36,Male,Canada,50.6,11,311,0,Beauty,79.2,26-09-2022,32,0.36,50.6,79.2,1,556.6,Inactive,Medium Risk,35-44,01-12-1903,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2022-09-26,1903-12-01
CUST_8989,39,Other,UK,64.39,10,39,0,Beauty,24.2,09-07-2022,22,0.4,64.39,24.2,1,643.9,At Risk,Medium Risk,35-44,18-02-1904,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2022-07-09,1904-02-18
CUST_7873,76,Male,France,188.66,19,352,0,Home,5.8,29-04-2024,62,0.33,188.66,5.8,1,3584.54,Inactive,Medium Risk,55+,29-04-1902,Medium Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2024-04-29,1902-04-29
CUST_6675,77,Male,Canada,142.52,10,201,0,Home,4,12-07-2021,93,0.31,142.52,4,3,1425.2,Inactive,Medium Risk,55+,14-02-1905,High Loyalty,Legitimate,Low Value,Stable,Check Data,2021-07-12,1905-02-14
CUST_1161,36,Male,Japan,,12,85,0,Beauty,2.9,22-02-2023,45,0.35,250,2.9,2,3000,At Risk,Medium Risk,35-44,05-07-1903,Medium Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2023-02-22,1903-07-05
CUST_5297,79,Male,Canada,78.1,16,42,0,Sports,73.6,10-09-2024,11,0.17,78.1,73.6,1,1249.6,At Risk,Low Risk,55+,16-12-1901,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2024-09-10,1901-12-16
CUST_1995,64,Female,France,29.96,10,235,0,Electronics,34.2,05-06-2023,33,0.38,29.96,34.2,1,299.6,Inactive,Medium Risk,55+,24-03-1903,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-06-05,1903-03-24
CUST_8629,79,Female,China,25.66,12,69,0,Beauty,82.4,15-04-2021,38,0.33,25.66,82.4,2,307.92,At Risk,Medium Risk,55+,13-05-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-04-15,1905-05-13
CUST_2016,33,Male,Brazil,37.74,9,355,0,Electronics,87.4,30-06-2023,65,0.17,37.74,87.4,2,339.66,Inactive,Low Risk,25-34,27-02-1903,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2023-06-30,1903-02-27
CUST_8869,41,Male,USA,38.89,8,130,1,Home,30.6,02-11-2020,63,0.3,38.89,30.6,2,311.12,Inactive,Medium Risk,35-44,24-10-1905,Medium Loyalty,Fraudulent,Low Value,Stable,Check Data,2020-11-02,1905-10-24
CUST_7439,58,Female,Brazil,224.56,4,131,0,Fashion,28.9,27-06-2022,38,0.07,224.56,28.9,2,898.24,Inactive,Low Risk,55+,01-03-1904,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2022-06-27,1904-03-01
CUST_8892,21,Male,USA,177.53,4,247,0,Home,30.8,18-05-2023,73,0.26,177.53,30.8,1,710.12,Inactive,Medium Risk,Under 25,11-04-1903,High Loyalty,Legitimate,Low Value,Stable,Check Data,2023-05-18,1903-04-11
CUST_7863,32,Female,UK,22.84,11,154,0,Home,47.5,30-05-2022,13,0.59,22.84,47.5,1,251.24,Inactive,High Risk,25-34,29-03-1904,Low Loyalty,Legitimate,Low Value,At Risk - Develop,Check Data,2022-05-30,1904-03-29
CUST_8916,42,Female,Australia,36.64,13,229,0,Home,1.6,05-07-2023,48,0.35,36.64,1.6,1,476.32,Inactive,Medium Risk,35-44,22-02-1903,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2023-07-05,1903-02-22
CUST_9529,61,Female,Japan,99.99,8,88,0,Beauty,1.1,27-09-2023,24,0.19,99.99,1.1,1,799.92,At Risk,Low Risk,55+,30-11-1902,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-09-27,1902-11-30
CUST_1878,72,Other,Japan,101.05,9,228,0,Beauty,73.5,28-09-2023,36,0.22,101.05,73.5,1,909.45,Inactive,Medium Risk,55+,29-11-1902,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-09-28,1902-11-29
CUST_5887,52,Other,China,84.6,17,26,0,Fashion,80.8,07-10-2023,20,0.25,84.6,80.8,2,1438.2,Active,Medium Risk,45-54,20-11-1902,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2023-10-07,1902-11-20
CUST_5859,72,Other,Australia,111.68,13,360,0,Electronics,20.4,29-09-2020,43,0.07,111.68,20.4,1,1451.84,Inactive,Low Risk,55+,27-11-1905,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2020-09-29,1905-11-27
CUST_7331,31,Male,Australia,178.26,13,355,0,Electronics,59.4,23-08-2020,57,0.45,178.26,59.4,2,2317.38,Inactive,Medium Risk,25-34,03-01-1906,Medium Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2020-08-23,1906-01-03
CUST_9571,66,Male,USA,97.41,14,237,0,Electronics,21.6,01-09-2020,65,0.46,97.41,21.6,1,1363.74,Inactive,Medium Risk,55+,25-12-1905,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2020-09-01,1905-12-25
CUST_9684,36,Male,Japan,111.72,6,174,0,Home,73.4,13-09-2023,60,0.33,111.72,73.4,3,670.32,Inactive,Medium Risk,35-44,14-12-1902,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2023-09-13,1902-12-14
CUST_8208,55,Female,Japan,130.26,8,315,0,Fashion,42.1,14-05-2021,99,0.04,130.26,42.1,1,1042.08,Inactive,Low Risk,55+,14-04-1905,High Loyalty,Legitimate,Low Value,Stable,Check Data,2021-05-14,1905-04-14
CUST_6276,53,Other,Australia,194.44,14,291,0,Home,82.3,06-08-2023,43,0.3,194.44,82.3,2,2722.16,Inactive,Medium Risk,45-54,21-01-1903,Medium Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2023-08-06,1903-01-21
CUST_3062,24,Female,USA,131.13,13,60,0,Fashion,94.9,09-05-2022,84,0.12,131.13,94.9,2,1704.69,At Risk,Low Risk,Under 25,19-04-1904,High Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2022-05-09,1904-04-19
CUST_1064,47,Male,Canada,54.59,11,169,0,Sports,55.5,25-05-2022,65,0.39,54.59,55.5,1,600.49,Inactive,Medium Risk,45-54,03-04-1904,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2022-05-25,1904-04-03
CUST_9006,36,Other,Canada,123.09,6,262,0,Beauty,90.1,11-06-2022,46,0.29,123.09,90.1,1,738.54,Inactive,Medium Risk,35-44,17-03-1904,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2022-06-11,1904-03-17
CUST_3568,66,Male,France,54.37,10,305,0,Home,3.4,08-09-2024,62,0.21,54.37,3.4,1,543.7,Inactive,Medium Risk,55+,18-12-1901,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2024-09-08,1901-12-18
CUST_6463,42,Male,India,150.63,18,115,0,Sports,46.3,23-10-2024,70,0.43,150.63,46.3,3,2711.34,Inactive,Medium Risk,35-44,03-11-1901,High Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2024-10-23,1901-11-03
CUST_3027,33,Male,Germany,156.42,9,174,0,Electronics,50.3,27-08-2021,26,0.36,156.42,50.3,1,1407.78,Inactive,Medium Risk,25-34,30-12-1904,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-08-27,1904-12-30
CUST_3695,64,Male,UK,37.09,9,220,0,Sports,41.6,20-07-2021,29,0.08,37.09,41.6,1,333.81,Inactive,Low Risk,55+,06-02-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-07-20,1905-02-06
CUST_6258,71,Female,USA,49.42,8,127,0,Beauty,31.5,10-03-2025,41,0.64,49.42,31.5,2,395.36,Inactive,High Risk,55+,18-06-1901,Medium Loyalty,Legitimate,Low Value,At Risk - Develop,Check Data,2025-03-10,1901-06-18
CUST_6618,57,Male,Canada,237.22,11,4,0,Beauty,72.3,08-06-2021,15,0.21,237.22,72.3,3,2609.42,Active,Medium Risk,55+,20-03-1905,Low Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2021-06-08,1905-03-20
CUST_7736,68,Female,China,76.59,13,325,0,Beauty,,22-12-2021,19,0.15,76.59,250,1,995.67,Inactive,Low Risk,55+,04-09-1904,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-12-22,1904-09-04
CUST_1391,25,Female,Germany,120.73,4,185,0,Sports,8.2,16-04-2024,73,0.08,120.73,8.2,1,482.92,Inactive,Low Risk,25-34,12-05-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2024-04-16,1902-05-12
CUST_6892,35,Female,Germany,219.17,8,171,0,Electronics,95.1,12-05-2022,59,0.2,219.17,95.1,1,1753.36,Inactive,Medium Risk,35-44,16-04-1904,Medium Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2022-05-12,1904-04-16
CUST_4561,45,Female,Germany,76.65,9,198,0,Home,88.8,26-04-2024,81,0.27,76.65,88.8,3,689.85,Inactive,Medium Risk,45-54,02-05-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2024-04-26,1902-05-02
CUST_7184,33,Male,Australia,97.19,7,230,0,Electronics,35.3,20-10-2022,96,0.1,97.19,35.3,1,680.33,Inactive,Low Risk,25-34,07-11-1903,High Loyalty,Legitimate,Low Value,Stable,Check Data,2022-10-20,1903-11-07
CUST_4099,69,Female,France,19.7,6,287,0,Fashion,24.6,17-12-2024,28,0.12,19.7,24.6,1,118.2,Inactive,Low Risk,55+,09-09-1901,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2024-12-17,1901-09-09
CUST_7278,36,Other,China,92.98,7,334,0,Fashion,62.8,15-08-2020,15,0.04,92.98,62.8,1,650.86,Inactive,Low Risk,35-44,11-01-1906,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2020-08-15,1906-01-11
CUST_9392,59,Male,India,60.96,4,114,0,Home,4.3,11-08-2024,58,0.33,60.96,4.3,2,243.84,Inactive,Medium Risk,55+,15-01-1902,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2024-08-11,1902-01-15
CUST_4104,34,Female,China,61.71,9,332,0,Beauty,49.6,24-01-2023,53,0.13,61.71,49.6,2,555.39,Inactive,Low Risk,25-34,03-08-1903,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2023-01-24,1903-08-03
CUST_8215,62,Male,China,134,12,329,0,Home,67.3,14-01-2023,42,0.44,134,67.3,1,1608,Inactive,Medium Risk,55+,13-08-1903,Medium Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2023-01-14,1903-08-13
CUST_3454,30,Male,USA,204.04,6,312,0,Sports,,25-02-2021,28,0.21,204.04,250,3,1224.24,Inactive,Medium Risk,25-34,01-07-1905,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2021-02-25,1905-07-01
CUST_9996,24,Female,France,62.08,9,10,0,Beauty,97.2,16-11-2023,73,0.41,62.08,97.2,3,558.72,Active,Medium Risk,Under 25,11-10-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2023-11-16,1902-10-11
CUST_3731,44,Female,Brazil,130.01,9,103,0,Home,71.9,22-05-2021,91,0.29,130.01,71.9,1,1170.09,Inactive,Medium Risk,35-44,06-04-1905,High Loyalty,Legitimate,Low Value,Stable,Check Data,2021-05-22,1905-04-06
CUST_9154,27,Male,France,23.25,13,174,0,Home,93.4,17-06-2024,19,0.59,23.25,93.4,1,302.25,Inactive,High Risk,25-34,11-03-1902,Low Loyalty,Legitimate,Low Value,At Risk - Develop,Check Data,2024-06-17,1902-03-11
CUST_6056,51,Female,Brazil,26.76,8,119,0,Sports,90.8,25-08-2022,71,0.2,26.76,90.8,1,214.08,Inactive,Medium Risk,45-54,02-01-1904,High Loyalty,Legitimate,Low Value,Stable,Check Data,2022-08-25,1904-01-02
CUST_9110,53,Female,India,158.27,9,236,0,Sports,,17-11-2023,89,0.19,158.27,250,1,1424.43,Inactive,Low Risk,45-54,10-10-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2023-11-17,1902-10-10
CUST_4840,42,Other,USA,41.29,12,235,0,Electronics,66.9,21-10-2023,94,0.22,41.29,66.9,1,495.48,Inactive,Medium Risk,35-44,06-11-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2023-10-21,1902-11-06
CUST_2028,23,Male,Australia,68.94,21,304,0,Fashion,59.7,20-02-2024,77,0.17,68.94,59.7,1,1447.74,Inactive,Low Risk,Under 25,07-07-1902,High Loyalty,Legitimate,Low Value,Stable,Check Data,2024-02-20,1902-07-07
CUST_8385,41,Other,Germany,49.73,5,37,0,Home,5.5,28-07-2022,2,0.11,49.73,5.5,1,248.65,At Risk,Low Risk,35-44,30-01-1904,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2022-07-28,1904-01-30
CUST_1502,35,Male,USA,55.27,15,271,0,Electronics,31.8,27-06-2022,18,0.12,55.27,31.8,1,829.05,Inactive,Low Risk,35-44,01-03-1904,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2022-06-27,1904-03-01
CUST_7910,40,Female,Australia,134.3,5,343,0,Beauty,53.5,07-03-2025,40,0.28,134.3,53.5,2,671.5,Inactive,Medium Risk,35-44,21-06-1901,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2025-03-07,1901-06-21
CUST_7938,23,Male,USA,98.85,13,250,0,Beauty,54.8,09-06-2025,53,0.12,98.85,54.8,3,1285.05,Inactive,Low Risk,Under 25,19-03-1901,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2025-06-09,1901-03-19
